13-05-2019 07:36,b'@narendramodi @ArvindKejriwal @rashtrapatibhvn @IndiaToday @timesofindia @ZeeNews @ndtvindia NO ONE TALKS ABOUT POL\xe2\x80\xa6 https://t.co/Kpk3rkyiGz'
,
13-05-2019 06:32,b'Delhi is one of the world\xe2\x80\x99s most polluted cities \xe2\x80\x93 so why is clean air not an election issue? #Environment\xe2\x80\xa6 https://t.co/YcDTGVL6oT'
,
12-05-2019 19:21,"b'RT @barkhad: Dear #Delhi - before you vote today, take a look at the air quality.  If you\xe2\x80\x99re sick of the #pollution today\xe2\x80\x99s your chance-vot\xe2\x80\xa6'"
,
12-05-2019 16:38,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
12-05-2019 14:38,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
12-05-2019 11:39,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
12-05-2019 10:22,"b'RT @barkhad: Dear #Delhi - before you vote today, take a look at the air quality.  If you\xe2\x80\x99re sick of the #pollution today\xe2\x80\x99s your chance-vot\xe2\x80\xa6'"
,
12-05-2019 09:04,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
12-05-2019 05:53,b'.@AOC @UNEnvironment Children to Govt: Save Us from #Pollution in #Delhi https://t.co/XhYdQxxERi'
,
12-05-2019 02:40,"b'Dear #Delhi - before you vote today, take a look at the air quality.  If you\xe2\x80\x99re sick of the #pollution today\xe2\x80\x99s your\xe2\x80\xa6 https://t.co/IQO9YZy2ex'"
,
12-05-2019 02:34,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
12-05-2019 02:15,b'Something is seriously wrong with #Delhi\xe2\x80\x99s air today. I woke up with burning eyes a nauseous feeling. My air purifi\xe2\x80\xa6 https://t.co/kXdBdeMYn9'
,
12-05-2019 01:36,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 18:48,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 18:18,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 18:11,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 16:46,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 16:32,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 16:21,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 16:12,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 15:45,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 15:20,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 14:54,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 14:37,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
11-05-2019 14:36,b'RT @prernabindra: My green #wishlist for #LokSabhaEelctions2019 election manifestos &amp; parties  as #delhi #Gurgaon goes to vote :  resolve a\xe2\x80\xa6'
,
